id,marka,model,rok_produkcji,rodzaj_silnika,pojemnosc_silnika,przebieg,cena,wojewodztwo
0,Nissan,X-Trail III,2014,Diesel,1600.0,160000.0,75900.0,Dolnośląskie
1,BMW,X1 E84,2012,Diesel,2000.0,149000.0,70900.0,Świętokrzyskie
2,Opel,Zafira A,2004,Benzyna+CNG,1600.0,99000.0,9800.0,Opolskie
3,Hyundai,i10 I,2008,Benzyna,1100.0,93000.0,11900.0,Łódzkie
4,Volkswagen,CC,2010,Diesel,1968.0,127428.0,49900.0,Wielkopolskie
5,Fiat,500,2014,Elektryczny,1.0,36800.0,74200.0,Śląskie
6,Nissan,X-Trail I,2004,Diesel,2200.0,174000.0,23200.0,Dolnośląskie
7,Seat,Toledo II,2000,Benzyna,1800.0,140700.0,8150.0,Pomorskie
8,Volkswagen,CC,2014,Diesel,1968.0,52000.0,97000.0,Pomorskie
9,Nissan,Juke,2016,Benzyna,1197.0,18000.0,56900.0,Mazowieckie
10,Toyota,Corolla Seria,2015,Benzyna,1329.0,26415.0,53000.0,Lubuskie
11,BMW,Seria 5 E39,2002,Diesel,3000.0,254900.0,17500.0,Mazowieckie
12,Volkswagen,Jetta A6,2014,Benzyna,1400.0,59000.0,59900.0,Małopolskie
13,Audi,A1,2011,Benzyna,1400.0,90000.0,39999.0,Wielkopolskie
14,BMW,Seria 3 E90,2008,Diesel,1998.0,246000.0,27999.0,Lubelskie
15,Citroën,C4 Picasso I,2007,Diesel,1598.0,181658.0,16900.0,Kujawsko-pomorskie
16,Ford,Mondeo Mk3,2003,Diesel,2000.0,180000.0,7200.0,Małopolskie
17,Mercedes-Benz,Klasa E W213,2017,Diesel,1950.0,5.0,258709.0,Łódzkie
18,Volkswagen,Tiguan II,2017,Diesel,2000.0,5.0,128900.0,Łódzkie
19,Mercedes-Benz,GLK GLK,2012,Diesel,2143.0,89000.0,89000.0,Dolnośląskie
20,Honda,CR-V IV,2017,Benzyna,2000.0,5.0,111600.0,Wielkopolskie
21,Mercedes-Benz,Klasa E W213,2017,Diesel,1950.0,2.0,292800.0,Mazowieckie
22,Chevrolet,Captiva,2006,Diesel,1991.0,219000.0,24999.0,Zachodniopomorskie
23,Volvo,V50,2011,Diesel,1600.0,170000.0,26900.0,Wielkopolskie
24,Volvo,S40 II,2008,Diesel,1600.0,232000.0,19999.0,Pomorskie
25,BMW,Seria 3 E46,2001,Benzyna+LPG,2200.0,218000.0,16800.0,Dolnośląskie
26,Volvo,S60 I,2003,Diesel,2401.0,228000.0,12600.0,Dolnośląskie
27,BMW,Seria 5 E39,2001,Benzyna+LPG,2971.0,215000.0,17900.0,Dolnośląskie
28,Toyota,Avensis III,2009,Diesel,2000.0,179000.0,34900.0,Pomorskie
29,Opel,Insignia A,2010,Diesel,2000.0,179000.0,31900.0,Wielkopolskie
30,Ford,Ranger,2011,Diesel,2500.0,164000.0,55000.0,Mazowieckie
31,Fiat,Doblo I,2002,Benzyna,1600.0,208000.0,8700.0,Dolnośląskie
32,Suzuki,SX4 S-Cross,2017,Benzyna,998.0,1.0,73900.0,Śląskie
33,Mercedes-Benz,CLA CLA,2017,Benzyna,1991.0,500.0,194900.0,Wielkopolskie
34,Citroën,Xsara II,2002,Benzyna,1600.0,216005.0,4699.0,Świętokrzyskie
35,Renault,Espace IV,2008,Diesel,1995.0,134000.0,21900.0,Małopolskie
36,BMW,X5 F15,2017,Diesel,1997.0,1.0,266800.0,Pomorskie
37,Škoda,Octavia III,2016,Benzyna,1798.0,11563.0,124900.0,Mazowieckie
38,Ford,Focus Mk2,2006,Benzyna,1600.0,161000.0,13990.0,Kujawsko-pomorskie
39,Opel,Zafira B,2010,Diesel,1700.0,132870.0,25900.0,Śląskie
40,Opel,Meriva I,2004,Diesel,1700.0,204000.0,7000.0,Zachodniopomorskie
41,Audi,A3 8P,2004,Benzyna,2000.0,140910.0,21999.0,Dolnośląskie
42,Nissan,Qashqai II,2017,Benzyna,1197.0,10.0,91200.0,Śląskie
43,Volvo,XC 60,2017,Diesel,1986.0,1.0,158600.0,Małopolskie
44,Renault,Kangoo I,2007,Benzyna,1600.0,124000.0,15600.0,Lubuskie
45,Volvo,XC 60 I,2016,Diesel,1969.0,20900.0,158000.0,Śląskie
46,Honda,Civic VIII,1997,Benzyna,1400.0,200000.0,2500.0,Mazowieckie
47,Ford,S-Max I,2012,Diesel,1997.0,183000.0,47900.0,Zachodniopomorskie
48,Renault,Laguna III,2007,Diesel,1995.0,163641.0,18900.0,Dolnośląskie
49,Peugeot,207,2007,Benzyna,1398.0,125123.0,13900.0,Wielkopolskie
50,Renault,Scenic I,2003,Diesel,1870.0,244529.0,5400.0,Małopolskie
51,Audi,A6 C6,2006,Diesel,2700.0,257000.0,26800.0,Mazowieckie
52,Mini,Clubman,2016,Diesel,1995.0,8000.0,122700.0,Łódzkie
53,BMW,Seria 5 F10,2016.0,Diesel,1995.0,25135.0,159900.0,Pomorskie
54,BMW,Seria 3 E90,2008,Benzyna,2979.0,76000.0,32800.0,Mazowieckie
55,Ford,Mondeo Mk4,2014,Diesel,2000.0,147000.0,43900.0,Pomorskie
56,Opel,Insignia A,2014.0,Diesel,2000.0,80400.0,61900.0,Podkarpackie
57,Volkswagen,Polo IV,2008,Benzyna,1198.0,158452.0,11900.0,Śląskie
58,Ford,Focus Mk3,2017,Benzyna,1598.0,7.0,77900.0,Lubuskie
59,Peugeot,307 I,2003,Benzyna,1600.0,179765.0,8500.0,Wielkopolskie
60,Audi,Q7 II,2016,Diesel,3000.0,3950.0,375000.0,Mazowieckie
61,Audi,A8 D3,2003,Benzyna+LPG,3697.0,290000.0,24900.0,Wielkopolskie
62,Opel,Corsa D,2008,Benzyna,1390.0,130000.0,19900.0,Śląskie
63,Peugeot,207,2008,Benzyna,1598.0,119000.0,18900.0,Zachodniopomorskie
64,Renault,Laguna II,2007,Diesel,1870.0,222000.0,9900.0,Śląskie
65,Mercedes-Benz,Klasa C W204,2009,Diesel,2200.0,182500.0,58900.0,Lubelskie
66,BMW,Seria 5 F10,2013,Diesel,2000.0,123000.0,129000.0,Pomorskie
67,Ford,Mondeo Mk4,2009,Diesel,2000.0,168000.0,22800.0,Wielkopolskie
68,Pontiac,Trans Sport,1994,Benzyna+LPG,3100.0,199000.0,4800.0,Dolnośląskie
69,Ford,Cougar,2000,Benzyna,2000.0,106000.0,7999.0,Mazowieckie
70,Seat,Leon III,2016,Benzyna,1395.0,28871.0,66999.0,Mazowieckie
71,Nissan,X-Trail III,2017.0,Diesel,1600.0,1.0,114900.0,Lubuskie
72,Volvo,V90,2016,Diesel,1969.0,10800.0,239000.0,Pomorskie
73,Citroën,C5 III,2009,Diesel,1997.0,162654.0,28499.0,Wielkopolskie
74,Opel,Zafira B,2007,Diesel,1900.0,190000.0,15700.0,Zachodniopomorskie
75,Toyota,RAV4 III,2007,Diesel,2231.0,113000.0,38900.0,Wielkopolskie
76,BMW,Seria 1 F20,2016,Diesel,1496.0,4600.0,111898.0,Wielkopolskie
77,Nissan,Qashqai+2,2009,Benzyna,2000.0,163000.0,38800.0,Lubelskie
78,Honda,CR-V IV,2017,Benzyna,1997.0,1.0,131600.0,Zachodniopomorskie
79,BMW,X1 F48,2017,Diesel,1995.0,7750.0,183900.0,Zachodniopomorskie
80,Renault,Espace IV,2002,Benzyna,2000.0,204000.0,11900.0,Lubelskie
81,Volkswagen,Touran II,2012,Diesel,1598.0,220000.0,29900.0,Dolnośląskie
82,Mercedes-Benz,Klasa E W210,2000,Diesel,2148.0,362653.0,8900.0,Lubelskie
83,Dodge,Caliber,2005,Diesel,1986.0,192000.0,18800.0,Mazowieckie
84,Toyota,Avensis II,2007,Diesel,2231.0,241000.0,23900.0,Wielkopolskie
85,Peugeot,206,2005,Benzyna,1360.0,145000.0,9400.0,Zachodniopomorskie
86,Opel,Vectra C,2007,Benzyna,2200.0,219000.0,15900.0,Podkarpackie
87,Opel,Corsa D,2012,Benzyna,1400.0,89000.0,20999.0,Kujawsko-pomorskie
88,Audi,A4 B6,2003,Benzyna,2400.0,193000.0,19900.0,Mazowieckie
89,Volkswagen,Touran I,2009,Diesel,2000.0,287000.0,30500.0,Opolskie
90,Opel,Meriva I,2008,Benzyna,1364.0,184025.0,15900.0,Podkarpackie
91,Toyota,Corolla Verso,2005,Benzyna,1794.0,133248.0,22900.0,Małopolskie
92,Jeep,Compass,2017,Diesel,1368.0,1.0,113900.0,Kujawsko-pomorskie
93,Audi,A4 B6,2001.0,Benzyna,1600.0,154000.0,14900.0,Kujawsko-pomorskie
94,Mazda,6 I,2005,Benzyna,1999.0,250000.0,14500.0,Lubelskie
95,Saab,9-3 II,2009,Diesel,191000.0,195000.0,29900.0,Kujawsko-pomorskie
96,Hyundai,i20 II,2017,Benzyna,1248.0,5.0,46700.0,Śląskie
97,Škoda,Fabia II,2012,Diesel,1598.0,166000.0,19999.0,Wielkopolskie
98,Kia,Carens IV,2016,Benzyna,1600.0,6.0,69990.0,Lubelskie
99,Opel,Astra H,2007,Diesel,1686.0,211000.0,13300.0,Mazowieckie
100,Volkswagen,Touran I,2003,Benzyna,1598.0,151000.0,15000.0,Kujawsko-pomorskie
101,Hyundai,i10 I,2009,Benzyna,1100.0,97000.0,10500.0,Śląskie
102,Mitsubishi,ASX,2014,Diesel,1798.0,70346.0,60900.0,Śląskie
103,Audi,A4 B7,2007,Diesel,2000.0,223000.0,19900.0,Wielkopolskie
104,Opel,Antara,2009,Diesel,2000.0,189076.0,31900.0,Mazowieckie
105,Suzuki,Alto,2002,Benzyna,1100.0,72900.0,4300.0,Zachodniopomorskie
106,Citroën,Berlingo I,2005,Diesel,1868.0,230000.0,9999.0,Lubuskie
107,Volkswagen,Polo III,2001,Benzyna,1400.0,160000.0,6900.0,Mazowieckie
108,Opel,Zafira B,2009,Diesel,1900.0,167000.0,21500.0,Kujawsko-pomorskie
109,Peugeot,2008,2017,Benzyna,1199.0,4.0,68600.0,Podlaskie
110,Volkswagen,Touran I,2005,Diesel,1900.0,211000.0,15500.0,Podkarpackie
111,Renault,Megane II,2007,Benzyna,1600.0,147000.0,14900.0,Śląskie
112,Mazda,3 II,2009,Diesel,1560.0,138000.0,26900.0,Śląskie
113,Mercedes-Benz,GLE,2017,Diesel,2987.0,10000.0,335200.0,Mazowieckie
114,Ford,Fiesta Mk7,2009,Benzyna,1200.0,163000.0,18900.0,Śląskie
115,Renault,Trafic II,2006,Diesel,2463.0,186000.0,19800.0,Śląskie
116,Infiniti,QX70,2016,Benzyna,3696.0,39396.0,215000.0,Śląskie
117,Audi,A4 B6,2002,Diesel,1896.0,249000.0,15999.0,Podlaskie
118,Škoda,Octavia I,2002,Benzyna,2000.0,186000.0,11900.0,Podlaskie
119,Škoda,Octavia II,2010,Diesel,1968.0,131000.0,29800.0,Dolnośląskie
120,BMW,Seria 5 E60,2004,Diesel,2500.0,214226.0,16300.0,Pomorskie
121,Hyundai,Tucson II,2017,Benzyna,1591.0,1.0,90860.0,Śląskie
122,Ford,Focus Mk3,2013,Diesel,1600.0,168000.0,35900.0,Mazowieckie
123,Mitsubishi,ASX,2014,Benzyna,1598.0,24144.0,62900.0,Śląskie
124,Mercedes-Benz,CLK W208,2002,Benzyna,2000.0,129000.0,13900.0,Wielkopolskie
125,Citroën,C4 Grand Picasso II,2014,Diesel,1990.0,178000.0,50000.0,Podkarpackie
126,Land Rover,Range Rover Sport II,2017,Diesel,1999.0,6909.0,342170.0,Dolnośląskie
127,Ford,Mondeo Mk4,2010,Benzyna,1596.0,139687.0,32000.0,Śląskie
128,Ford,Fiesta Mk6,2005,Benzyna,1299.0,169000.0,8500.0,Wielkopolskie
129,Fiat,Grande Punto,2006,Benzyna,1368.0,149000.0,12500.0,Śląskie
130,Mercedes-Benz,Klasa S W126,1984,Benzyna,2800.0,147400.0,37500.0,Mazowieckie
131,Volkswagen,Touran I,2010,Diesel,1900.0,146000.0,29900.0,Wielkopolskie
132,Škoda,Octavia III,2017,Benzyna,1390.0,5.0,79900.0,Łódzkie
133,Mitsubishi,ASX,2016,Diesel,1599.0,6500.0,86999.0,Wielkopolskie
134,Honda,Civic VIII,2010,Benzyna,1798.0,169000.0,35400.0,Mazowieckie
135,Nissan,Qashqai I,2013,Diesel,1500.0,159000.0,42990.0,Śląskie
136,Seat,Leon III,2016,Benzyna,1400.0,11000.0,90000.0,Śląskie
137,Kia,Pro_cee'd,2012,Benzyna,1600.0,120000.0,27900.0,Śląskie
138,Mitsubishi,Outlander I,2004,Benzyna,1995.0,194000.0,16500.0,Warmińsko-mazurskie
